AT1G28040.1	10.48890461	1437.060032
AT3G09640.1	10.15963282	1143.81088
AT5G35640.1	10.13503418	1124.473685
AT3G22961.1	9.932627429	977.279507
AT3G13090.1	9.872612312	937.4593427
AT3G41761.1	9.373015189	663.0689961
AT4G36490.1	9.353304084	654.0712921
AT5G43770.1	9.338676391	647.4730756
AT5G52000.1	9.106000733	551.0352237
AT3G21660.1	9.046679613	528.8371117
AT4G33860.1	8.961328342	498.4580705
AT3G63320.1	8.95755856	497.1572928
AT5G55240.1	8.953429568	495.7364631
AT4G15200.1	8.906376929	479.8291281
AT2G20970.2	8.905615638	479.5759953
AT5G66020.1	8.850219968	461.510598
AT4G03220.1	8.831975437	455.7110166
AT1G14688.1	8.803266565	446.7322401
AT3G46730.1	8.708863758	418.436171
AT5G16900.1	8.697195055	415.0654553
AT1G44970.1	8.663739271	405.550924
AT3G55210.1	8.631069403	396.4704146
AT3G49130.1	8.605310749	389.4544384
AT3G20935.1	8.598796649	387.699926
AT4G27220.1	8.51580525	366.0267431
AT1G31400.1	8.482463483	357.6645899
AT1G07850.1	8.477257716	356.3763318
AT2G24320.1	8.466889836	353.8244258
AT2G19890.1	8.451337415	350.0306428
AT3G45660.1	8.422932583	343.2063851
AT1G48640.1	8.404422241	338.8310414
AT4G10410.1	8.398689556	337.4873359
AT3G09750.1	8.362034849	329.0207698
AT1G20500.1	8.337965258	323.5770009
AT2G19610.2	8.265364572	307.6965745
AT1G20000.1	8.236798159	301.663881
AT1G56320.1	8.208894057	295.8852679
AT2G03210.1	8.203738154	294.8297207
AT2G05180.1	8.19035529	292.1074393
AT1G13890.1	8.156760824	285.384036
AT4G03480.1	8.004115703	256.7313564
AT5G13620.1	7.994282788	254.9875129
AT3G17980.1	7.980728559	252.6031043
AT1G64820.1	7.976251121	251.82036
AT2G39851.1	7.97595683	251.7689971
AT1G70400.3	7.95778975	248.618484
AT3G55780.1	7.914689319	241.300872
AT1G62000.1	7.901397932	239.0880033
AT5G42965.1	7.900457561	238.9322128
AT4G30540.1	7.899618758	238.7933347
AT3G20520.1	7.82421186	226.6326423
AT3G62320.1	7.822745263	226.402372
AT1G26360.1	7.812183788	224.7510099
